Round,spieltag,teamname,Date,Time,Comp,D,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp.Formation,Referee,Match.Report,Notes,Date.1,Time.1,Comp.1,D.1,Venue.1,Result.1,GF.1,GA.1,Opponent.1,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,nG,nG/Sh,GG,np:GG,Match Report,SoTA,Saves,Save%,CS,PG,PG+/-,PKatt.1,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp.1,Att.2,Cmp%.1,TotDist,PrgDist,Cmp.2,Att.3,Cmp%.2,Cmp.3,Att.4,Cmp%.3,Cmp.4,Att.5,Cmp%.4,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK.1,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,PassLive,PassDead,TO,Sh.1,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.2,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.6,Tkl%,Lost,Blocks.1,Sh.3,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Att Pen,Live.1,Att.7,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.1,PrgDist.1,PrgC,1/3.1,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld.2,PKwon,OG,Recov,Won,Lost.1,Won%
Matchweek 5,5,Union Berlin,2025-09-28,19:30,Bundesliga,Sun,Home,D,0,0,Hamburger SV,1.4,1.1,35,"22,012",Christopher Trimmel,3-4-3,3-4-3,Deniz Aytekin,Match Report,,2025-09-28,19:30,Bundesliga,Sun,Home,D,0,0,Hamburger SV,0,10,1,10.0,0.00,0.00,16.7,0,0,1,0.6,0.06,-1.4,-0.6,Match Report,6,6,100.0,1,0.7,+0.7,0,0,0,0,3,16,18.8,22,3,54.5,40.0,6,83.3,57.8,16,2,12.5,1,11.3,216,311,69.5,3853,1460,101,107,94.4,86,108,79.6,23,70,32.9,0,0.3,0.4,7,15,3,2,18,258,52,19,0,1,21,21,5,3,2,0,1,11,18,7,5,0,2,4,0,0,0,0,0,0,0,0,12,5,7,4,1,7,19,36.8,12,9,5,4,8,20,32,0,423,62,134,185,109,22,422,13,6,46.2,6,46.2,200,911,497,10,4,2,14,8,213,18,2,0,0,18,17,1,0,34,13,22,37.1
Matchweek 6,6,Union Berlin,2025-10-04,15:30,Bundesliga,Sat,Away,L,0,2,Leverkusen,0.9,2.9,27,"30,210",Christopher Trimmel,3-4-3,3-4-3,Christian Dingert,Match Report,,2025-10-04,15:30,Bundesliga,Sat,Away,L,0,2,Leverkusen,0,10,3,30.0,0.00,0.00,16.5,0,0,0,0.9,0.09,-0.9,-0.9,Match Report,3,1,33.3,0,1.3,-0.7,0,0,0,0,6,17,35.3,25,2,40.0,32.6,11,63.6,49.0,8,0,0.0,0,9.2,222,314,70.7,4133,1609,97,111,87.4,97,121,80.2,24,59,40.7,0,0.8,0.6,9,17,6,3,20,268,46,12,1,0,17,16,4,1,2,0,0,9,16,15,0,0,0,0,1,0,0,0,0,0,0,0,15,10,6,7,2,2,12,16.7,10,8,5,3,11,26,26,3,425,61,181,167,85,13,425,8,4,50.0,4,50.0,212,928,489,8,10,1,10,9,221,19,3,0,0,13,10,0,0,42,11,19,36.7
Matchweek 7,7,Union Berlin,2025-10-17,20:30,Bundesliga,Fri,Home,W,3,1,Gladbach,1.2,0.7,38,"22,012",Christopher Trimmel,3-4-3,4-4-2,Tobias Reichel,Match Report,,2025-10-17,20:30,Bundesliga,Fri,Home,W,3,1,Gladbach,3,16,5,31.3,0.19,0.60,15.9,0,0,0,1.2,0.08,+1.8,+1.8,Match Report,2,1,50.0,0,1.1,+0.1,0,0,0,0,11,25,44.0,28,5,71.4,42.8,5,100.0,62.2,19,2,10.5,0,8.3,220,324,67.9,4040,2011,106,126,84.1,65,94,69.1,35,72,48.6,1,0.6,0.8,12,20,8,1,27,273,50,17,0,1,21,20,6,4,2,0,1,9,24,15,3,0,4,2,0,5,1,1,0,2,1,0,14,9,6,5,3,8,12,66.7,4,9,2,7,7,21,36,0,452,56,123,187,143,27,452,13,4,30.8,9,69.2,194,1007,433,13,7,5,20,12,216,27,5,0,0,21,14,0,0,38,26,18,59.1
Matchweek 8,8,Union Berlin,2025-10-24,20:30,Bundesliga,Fri,Away,L,0,1,Werder Bremen,0.6,1,43,"42,100",Christopher Trimmel,3-4-3,4-2-3-1,Daniel Schlager,Match Report,,2025-10-24,20:30,Bundesliga,Fri,Away,L,0,1,Werder Bremen,0,12,2,16.7,0.00,0.00,18.7,0,0,0,0.6,0.05,-0.6,-0.6,Match Report,3,2,66.7,0,1.0,0.0,0,0,0,0,3,18,16.7,25,3,44.0,35.9,11,63.6,47.3,15,0,0.0,3,18.5,293,412,71.1,4697,1874,160,178,89.9,91,120,75.8,28,77,36.4,0,0.5,0.8,10,28,6,1,34,364,46,6,0,2,22,21,6,4,2,0,2,13,21,13,3,0,2,2,1,0,0,0,0,0,0,0,18,11,7,11,0,9,15,60.0,6,14,8,6,9,27,35,0,559,61,192,236,137,19,559,11,3,27.3,7,63.6,244,1142,496,9,8,2,25,9,291,34,0,0,0,13,6,0,0,53,20,21,48.8
Matchweek 9,9,Union Berlin,2025-11-01,15:30,Bundesliga,Sat,Home,,NA,NA,Freiburg,NA,NA,NA,,,,,,Head-to-Head,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 1,1,Köln,2025-08-24,15:30,Bundesliga,Sun,Away,W,1,0,Mainz 05,1.4,1.4,49,"33,305",Marvin Schwäbe,3-4-3,3-4-3,Tobias Stieler,Match Report,NA,2025-08-24,15:30,Bundesliga,Sun,Away,W,1,0,Mainz 05,1,12,2,16.7,0.08,0.50,17.2,1,0,0,1.4,0.11,-0.4,-0.4,Match Report,2,2,100.0,1,0.2,+0.2,0,0,0,0,9,28,32.1,31,3,54.8,42.3,13,84.6,62.0,26,0,0.0,0,16.3,348,437,79.6,6654,2378,146,166,88.0,144,167,86.2,49,85,57.6,1,1.3,1.2,9,35,5,2,25,387,50,11,0,2,11,22,3,3,0,0,0,7,20,14,4,0,1,1,0,2,2,0,0,0,0,0,10,9,3,6,1,5,9,55.6,4,19,12,7,4,14,71,0,588,89,215,243,132,19,588,8,4,50.0,4,50.0,242,1254,614,11,11,3,12,6,345,25,2,0,0,9,7,0,0,28,21,37,36.2
Matchweek 10,10,Köln,2025-11-08,18:30,Bundesliga,Sat,Away,,NA,NA,Gladbach,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 11,11,Köln,2025-11-22,18:30,Bundesliga,Sat,Home,,NA,NA,Eint Frankfurt,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 12,12,Köln,2025-11-29,15:30,Bundesliga,Sat,Away,,NA,NA,Werder Bremen,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 13,13,Köln,2025-12-06,,Bundesliga,Sat,Home,,NA,NA,St. Pauli,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 14,14,Köln,2025-12-13,,Bundesliga,Sat,Away,,NA,NA,Leverkusen,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 15,15,Köln,2025-12-20,,Bundesliga,Sat,Home,,NA,NA,Union Berlin,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 16,16,Köln,2026-01-10,,Bundesliga,Sat,Away,,NA,NA,Heidenheim,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 17,17,Köln,2026-01-14,,Bundesliga,Wed,Home,,NA,NA,Bayern Munich,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 18,18,Köln,2026-01-17,,Bundesliga,Sat,Home,,NA,NA,Mainz 05,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 19,19,Köln,2026-01-24,,Bundesliga,Sat,Away,,NA,NA,Freiburg,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 2,2,Köln,2025-08-31,19:30,Bundesliga,Sun,Home,W,4,1,Freiburg,2.1,0.9,39,"50,000",Marvin Schwäbe,4-2-3-1,4-2-3-1,Tobias Reichel,Match Report,NA,2025-08-31,19:30,Bundesliga,Sun,Home,W,4,1,Freiburg,4,18,6,33.3,0.22,0.67,16.5,0,0,0,2.1,0.12,+1.9,+1.9,Match Report,2,1,50.0,0,0.9,-0.1,0,0,0,0,5,22,22.7,35,3,40.0,36.2,9,88.9,59.4,23,0,0.0,1,23.5,299,383,78.1,5324,2156,135,147,91.8,123,149,82.6,33,71,46.5,3,1.8,1.3,14,19,13,7,25,345,37,11,0,1,14,12,3,2,0,0,1,2,29,26,1,0,2,0,0,6,6,0,0,0,0,0,9,7,4,5,0,2,6,33.3,4,9,2,7,5,14,52,0,507,81,193,227,87,24,507,4,2,50.0,2,50.0,285,1290,538,8,5,2,19,6,294,23,2,0,0,12,7,0,0,28,19,22,46.3
Matchweek 20,20,Köln,2026-01-31,,Bundesliga,Sat,Home,,NA,NA,Wolfsburg,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 21,21,Köln,2026-02-07,,Bundesliga,Sat,Home,,NA,NA,RB Leipzig,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 22,22,Köln,2026-02-14,,Bundesliga,Sat,Away,,NA,NA,Stuttgart,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 23,23,Köln,2026-02-21,,Bundesliga,Sat,Home,,NA,NA,Hoffenheim,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 24,24,Köln,2026-02-28,,Bundesliga,Sat,Away,,NA,NA,Augsburg,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 25,25,Köln,2026-03-07,,Bundesliga,Sat,Home,,NA,NA,Dortmund,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 26,26,Köln,2026-03-14,,Bundesliga,Sat,Away,,NA,NA,Hamburger SV,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matchweek 27,27,Köln,2026-03-21,,Bundesliga,Sat,Home,,NA,NA,Gladbach,NA,NA,NA,,,,,,Head-to-Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
